Type,Price,Location,Bath,Area,Purpose,Bedrooms,Added,Precinct ,Main Features,,,
House,PKR1.75 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,3 days ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service
Flat,PKR65 Lakh,PKR42 Lakh,PKR1.25 Lakh,9 Months,"Bahria Town Karachi, Karachi, Sindh",1,56 Sq. Yd.,For Sale,1,3 days ago,"Precinct 2,","Main FeaturesBuilt in yearParking SpacesLobby in BuildingDouble Glazed WindowsFlooringElectricity BackupWaste DisposalFloor: 8Floors in Building: 8ElevatorsService Elevators in BuildingOther Main FeaturesRoomsBedrooms: 1Bathrooms: 1KitchensPowder Room GymStore RoomsLounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities"
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,3 days ago,Precinct 19,"Main FeaturesParking SpacesLobby in BuildingDouble Glazed WindowsFlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Dining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled"
House,PKR1.55 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,3 days ago,Precinct 12,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,94 Sq. Yd.,For Sale,2,3 days ago,Precinct 10-A,"Main FeaturesBuilt in year: 2020Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningFlooringElectricity BackupWaste DisposalFloor: 4Floors in Building: 8Elevators: 2Service Elevators in BuildingRoomsBedrooms: 2Bathrooms: 2Dining RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymKids Play AreaMosqueHealthcare RecreationalJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for Disabled"
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,4 days ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
House,PKR95 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,75 Sq. Yd.,For Sale,3,4 days ago,Bahria Greens,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,4 days ago,Not Found,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,4 days ago,Not Found,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1
Flat,PKR47 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,4 days ago,Not Found,RoomsBedrooms: 1Bathrooms: 1Drawing RoomDining RoomKitchens: 1
Flat,PKR45 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,4 days ago,Not Found,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,4 days ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
House,PKR95 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,75 Sq. Yd.,For Sale,3,4 days ago,Bahria Greens,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
House,PKR1.52 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
House,PKR2.15 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,4 days ago,Sports City,RoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 2
House,PKR1.56 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 31,"Main FeaturesParking SpacesFlooringElectricity BackupWaste DisposalRoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchensPowder Room Lounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessCommunity FeaturesCommunity Lawn or GardenKids Play AreaBarbeque AreaMosqueHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Facilities
Maintenance StaffSecurity Staff"
Flat,PKR92 Lakh,PKR35 Lakh,PKR91.67 Thousand,24 Months,"Bahria Town Karachi, Karachi, Sindh",2,89 Sq. Yd.,For Sale,2,4 days ago,Precinct 10-A,"Main FeaturesBuilt in yearParking SpacesLobby in BuildingDouble Glazed WindowsFlooringElectricity BackupWaste DisposalFloor: 10Floors in Building: 10ElevatorsService Elevators in BuildingOther Main FeaturesRoomsBedrooms: 2Bathrooms: 2KitchensGymStore RoomsLounge or Sitting RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledOther Facilities"
Flat,PKR77 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,4 days ago,Not Found,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,4 days ago,Not Found,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1
Flat,PKR47 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,4 days ago,Not Found,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1
Flat,PKR45 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,4 days ago,Not Found,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1
House,PKR95 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,75 Sq. Yd.,For Sale,3,4 days ago,Bahria Greens,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
House,PKR2.15 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,4 days ago,Sports City,RoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 2
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
House,PKR1.52 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,4 days ago,Precinct 11-B,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.58 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,3,4 days ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,4 days ago,"Precinct 2,","Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR2.05 Crore,"Bahria Town Karachi, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,4 days ago,"Precinct 2,","Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 27,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.65 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,4 days ago,Precinct 11-A,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",4,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 31,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,4 days ago,Precinct 10-A,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.65 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,4 days ago,Precinct 11-B,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR2.38 Crore,"Bahria Town Karachi, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,4 days ago,Sports City,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 4Bathrooms: 5Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR2.05 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,4 days ago,"Precinct 2,","Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.55 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,3,4 days ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 27,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,4 days ago,Precinct 11-A,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.55 Crore,"Bahria Town Karachi, Karachi, Sindh",4,235 Sq. Yd.,For Sale,3,4 days ago,Precinct 31,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
House,PKR1.99 Crore,"Bahria Town Karachi, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,4 days ago,Precinct 10-A,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
Flat,PKR26.82 Lakh,"Bahria Town Karachi, Karachi, Sindh",-,33 Sq. Yd.,For Sale,-,4 days ago,Not Found,RoomsDrawing Room
Flat,PKR26.82 Lakh,"Bahria Town Karachi, Karachi, Sindh",-,33 Sq. Yd.,For Sale,-,4 days ago,Not Found,RoomsDrawing Room
