Type,Location,Bath,Purpose,Bedrooms,Added,Precinct ,Main Features,Total Area,Total Price
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-B,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,152,15500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-B,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,152,15500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-B,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,152,15500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,2 days ago,Precinct 19,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,106,8500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 10-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-B,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,152,15500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,Main FeaturesFlooringElectricity BackupRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,19500000.0
House,"Bahria Town, Karachi",4,For Sale,4,2 days ago,Precinct 35,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 4Bathrooms: 5Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",350,21200000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 31,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Dining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",235,14700000.0
Flat,"Bahria Town, Karachi",4,For Sale,4,2 days ago,Precinct 19,"Main FeaturesParking SpacesLobby in BuildingDouble Glazed WindowsFlooringElectricity BackupWaste DisposalRoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 1Store Rooms: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",328,26000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,"Precinct 2,",RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,24500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,"Precinct 2,",RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,24500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Nearby Places,235,17200000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 12,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Nearby Places,125,15700000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,152,15600000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 11-A,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,152,17100000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 days ago,Precinct 31,Main FeaturesFlooringElectricity Backup,235,14500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,2 days ago,Bahria Town,Main FeaturesBuilt in year: 2022Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloors in BuildingElevators: 2Service Elevators in BuildingOther Main FeaturesFurnishedRoomsBedrooms: 2Bathrooms: 2Drawing RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomATM Machines,106,4000000.0
House,"Bahria Town, Karachi",4,For Sale,3,2 days ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",125,15000000.0
House,"Bahria Town, Karachi",4,For Sale,3,2 days ago,"Precinct 2,","Main FeaturesBuilt in year: 3033Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",152,19000000.0
